city,cloudiness,country,date,humidity,latitude,longitude,max_Temp,wind_Speed
Durazno,85,UY,1570240324,98,-33.38,-56.52,12.97,3.04
Sao Joao da Barra,0,BR,1570240326,86,-21.64,-41.05,22.8,8.606
Torbay,90,CA,1570240203,74,47.66,-52.73,3.89,3.6
Katsuura,40,JP,1570240326,57,33.93,134.5,26.67,5.7
Cockburn Town,100,TC,1570240327,77,21.46,-71.14,27.77,5.79
Sartell,90,US,1570240327,75,45.62,-94.21,8.33,2.1
Vysokogornyy,0,RU,1570240327,39,50.1,139.13,8.18,0.7
Yuanping,15,CN,1570240327,61,38.72,112.71,8.29,2.37
Axim,72,GH,1570240328,94,4.87,-2.24,22.87,2.204
Matara,0,BI,1570240328,87,-3.48,29.48,10.6,2.34
Demir Kapija,20,MK,1570240328,87,41.41,22.24,11.11,0.519
Salisbury,90,GB,1570240329,100,51.07,-1.8,13.33,3.6
Tuatapere,30,NZ,1570240329,50,-46.13,167.69,10.56,6.26
Qaqortoq,100,GL,1570240329,24,60.72,-46.03,13.0,11.8
Hasaki,40,JP,1570240330,45,35.73,140.83,28.0,4.1
Kampot,40,KH,1570240307,78,10.62,104.18,29.0,2.1
Lasa,45,CY,1570240332,63,34.92,32.53,20.0,3.1
Beaupre,75,CA,1570240334,78,47.04,-70.9,6.67,3.1
Kango,86,GA,1570240334,99,0.19,10.1,21.83,0.65
Camacha,75,PT,1570240334,94,33.08,-16.33,23.0,4.6
Huancabamba,100,PE,1570240336,95,-5.24,-79.45,10.19,2.175
Haifa,0,IL,1570240336,88,32.82,35.0,21.11,0.45
Oster,6,UA,1570240337,100,50.95,30.88,6.11,1.0
Imbituba,75,BR,1570240337,94,-28.24,-48.67,21.0,4.1
Rio Gallegos,0,AR,1570240185,59,-51.62,-69.22,3.0,5.1
Cumanayagua,100,CU,1570240342,100,22.15,-80.2,24.0,1.0
Verkhoyansk,1,RU,1570240346,47,67.55,133.39,-4.72,2.88
Perelyub,22,RU,1570240348,37,51.87,50.37,10.91,7.2
Kirakira,4,SB,1570240345,81,-10.46,161.92,26.97,3.278
Darnah,0,LY,1570240348,68,32.77,22.64,23.94,8.15
Hovd,0,NO,1570240348,79,63.83,10.7,1.67,4.1
Llanes,100,ES,1570240349,97,43.42,-4.75,15.56,2.05
Sharanga,100,RU,1570240349,93,57.18,46.54,9.52,3.268
Sistranda,0,NO,1570240349,86,63.73,8.83,-1.0,4.1
Khandyga,0,RU,1570240350,57,62.65,135.58,-2.99,1.97
Zumikon,90,CH,1570240350,66,47.33,8.62,13.0,3.6
Tutoia,30,BR,1570240350,94,-2.76,-42.27,23.15,1.22
Atar,0,MR,1570240351,16,20.52,-13.05,31.04,3.53
Bahir Dar,36,ET,1570240352,90,11.59,37.39,12.71,1.52
Dasoguz,0,TM,1570240353,18,41.84,59.97,8.0,3.1
Grojdibodu,75,RO,1570240353,87,43.76,24.27,12.0,2.1
Badajoz,0,ES,1570240247,74,38.88,-6.97,15.56,0.45
Vikulovo,100,RU,1570240354,93,55.07,40.96,7.27,3.6
Dire,60,ET,1570240354,88,9.18,38.92,10.45,1.49
Marion,1,US,1570240354,48,37.73,-88.93,18.0,2.1
Corowa,100,AU,1570240355,56,-36.0,146.39,25.56,2.6
Cubuk,0,TR,1570240355,52,40.24,33.03,17.78,0.5
Seddon,0,AU,1570240355,59,-37.81,144.89,20.0,1.5
Boa Vista,0,BR,1570240356,66,2.82,-60.67,29.0,3.1
Raudeberg,0,NO,1570240356,75,61.99,5.14,6.0,3.1
Pacifica,1,US,1570240356,76,37.61,-122.49,20.0,5.7
Biloela,0,AU,1570240358,23,-24.4,150.51,29.56,1.52
Moose Factory,1,CA,1570240082,93,51.26,-80.61,2.0,1.0
Diego de Almagro,0,CL,1570240359,95,-26.39,-70.05,5.84,1.12
Hofn,100,IS,1570240359,99,64.25,-15.21,0.75,8.98
Sosva,62,RU,1570240359,93,59.17,61.86,10.6,4.18
Puerto Baquerizo Moreno,22,EC,1570240360,86,-0.9,-89.6,20.37,6.39
Coquimbo,0,CL,1570240360,81,-29.95,-71.34,11.0,3.1
Barabash,0,RU,1570240362,50,43.19,131.5,11.0,6.0
Cabo San Lucas,5,MX,1570240131,61,22.89,-109.91,28.0,3.1
Sittingbourne,84,GB,1570240364,93,51.34,0.73,13.89,2.6
Petukhovo,39,RU,1570240364,81,55.06,67.89,10.78,4.44
Adrar,0,DZ,1570240365,25,27.87,-0.29,22.0,6.7
Hirado,66,JP,1570240365,73,33.32,129.49,25.0,1.5
Takoradi,72,GH,1570240365,94,4.89,-1.75,22.87,2.2
Macapa,4,BR,1570240366,83,0.05,-51.07,28.0,5.7
Otane,100,NZ,1570240366,67,-39.89,176.62,15.56,6.71
Taksimo,18,RU,1570240366,62,56.36,114.84,2.68,2.16
Sabha,31,LY,1570240367,45,27.03,14.43,19.99,4.21
Kahului,20,US,1570240077,55,20.89,-156.47,31.0,11.8
San Cristobal,95,HN,1570240370,91,14.68,-86.92,20.35,1.49
Ubinskoye,100,RU,1570240373,82,55.31,79.68,11.02,6.11
Xai-Xai,27,MZ,1570240373,74,-25.04,33.64,20.02,2.01
Dawei,29,MM,1570240373,76,14.07,98.19,27.68,2.77
Lesnyye Polyany,20,RU,1570240374,93,55.97,37.87,7.22,2.0
Plettenberg Bay,0,ZA,1570240374,81,-34.05,23.37,11.91,1.83
Vaitape,73,PF,1570240374,81,-16.52,-151.75,26.26,3.62
Srednekolymsk,100,RU,1570240376,68,67.46,153.71,-1.99,7.48
Lukovetskiy,90,RU,1570240376,98,64.29,41.92,0.0,3.0
Indramayu,41,ID,1570240377,41,-4.05,103.78,27.37,2.79
Grand Gaube,75,MU,1570240377,88,-20.01,57.66,23.0,3.1
Nara,20,JP,1570240328,57,34.68,135.8,26.11,2.1
Muros,20,ES,1570240338,100,42.77,-9.06,14.44,1.25
Port Lincoln,90,AU,1570240378,56,-34.72,135.86,19.28,9.89
Grand-Santi,0,GF,1570240378,90,4.27,-54.38,22.43,0.69
Sidi Ali,0,DZ,1570240378,44,36.1,0.42,18.66,0.456
Progreso,90,UY,1570240379,100,-34.68,-56.22,13.0,2.6
Tagusao,79,PH,1570240379,66,9.19,117.81,28.96,3.18
Nuuk,100,GL,1570240379,52,64.17,-51.74,6.0,4.6
Seoul,90,KR,1570240282,77,37.57,126.98,21.0,1.0
San Quintin,23,PH,1570240380,68,17.54,120.52,28.66,2.07
Coos Bay,1,US,1570240382,82,43.37,-124.22,15.56,1.5
Flinders,75,AU,1570240323,77,-34.58,150.85,19.44,2.6
Saint-Augustin,5,CA,1570240386,84,45.63,-73.98,6.0,1.5
Saint-Leu,0,RE,1570240386,73,-21.15,55.28,23.0,2.6
Buchanan,40,LR,1570240308,94,5.88,-10.05,24.0,3.41
Lermontovka,0,RU,1570240387,47,47.15,134.34,9.5,3.06
Anchorage,90,US,1570240387,66,61.22,-149.89,12.0,9.8
Port Shepstone,65,ZA,1570240387,90,-30.74,30.45,16.47,1.3
Westport,1,US,1570240388,62,41.14,-73.36,13.33,7.002
High Rock,33,BS,1570240388,80,26.63,-78.28,26.89,4.69
Winterberg,90,DE,1570240389,93,51.19,8.53,10.0,3.6
Sosnogorsk,100,RU,1570240390,99,63.59,53.93,6.64,2.34
Gushikawa,20,JP,1570240358,62,26.35,127.87,29.0,6.2
Pangnirtung,57,CA,1570240337,75,66.15,-65.72,-2.14,5.867
Zhezkazgan,0,KZ,1570240393,41,47.8,67.71,4.0,3.0
Whitianga,71,NZ,1570240393,75,-36.83,175.7,17.78,3.13
Laguna,40,BZ,1570240357,83,16.17,-88.94,28.0,0.7
Ambilobe,7,MG,1570240395,80,-13.19,49.05,22.73,2.82
San Francisco,90,CO,1570240189,95,1.17,-76.88,9.36,1.93
Dunedin,61,NZ,1570240214,74,-45.87,170.5,9.44,7.15
Coihueco,0,CL,1570240396,85,-36.63,-71.83,4.23,3.66
Pochutla,24,MX,1570240396,97,15.74,-96.47,17.36,1.26
Benton Harbor,90,US,1570240396,87,42.12,-86.45,11.11,5.12
Keetmanshoop,0,NA,1570240397,14,-26.57,18.15,21.0,4.6
Mumbwa,27,ZM,1570240397,74,-14.99,27.06,18.19,2.602
Tunceli,0,TR,1570240398,39,39.11,39.55,10.0,2.1
Lincoln,100,GB,1570240318,100,53.23,-0.54,11.11,1.57
Paso de los Toros,87,UY,1570240398,97,-32.81,-56.52,13.33,3.42
Turayf,0,SA,1570240399,25,31.68,38.65,18.0,1.5
Santa Cruz del Sur,100,CU,1570240399,96,20.71,-78.0,23.17,3.16
Chase,90,US,1570240399,93,38.35,-98.35,17.78,6.2
Saveh,0,IR,1570240399,59,35.02,50.36,9.58,0.74
Ilulissat,100,GL,1570240400,56,69.22,-51.1,5.0,2.6
Wagar,100,US,1570240400,72,31.44,-87.99,25.56,2.74
Sitka,93,US,1570240335,84,37.17,-99.65,18.7,10.18
Ozernovskiy,100,RU,1570240401,95,51.5,156.52,1.93,0.454
Lamar,1,US,1570240401,64,38.09,-102.62,20.0,13.4
Vao,92,EE,1570240397,82,59.1,26.19,2.4,3.9
Cayenne,0,GF,1570240350,94,4.94,-52.33,25.0,1.9
Kiunga,95,PG,1570240402,86,-6.12,141.3,27.37,1.486
Ambulu,0,ID,1570240402,86,-8.35,113.61,23.23,4.72
Zhangjiakou,0,CN,1570240402,31,40.77,114.88,5.1,2.54
Mount Gambier,58,AU,1570240403,72,-37.83,140.78,16.0,5.7
Ferme-Neuve,45,CA,1570240405,85,46.7,-75.45,1.9,1.28
Beloha,0,MG,1570240323,71,-25.17,45.06,19.04,1.29
Zhigansk,0,RU,1570240405,55,66.77,123.37,-2.4,4.391
Ostrovnoy,100,RU,1570240348,81,68.05,39.51,1.13,9.88
Margate,20,AU,1570240406,40,-43.03,147.26,15.56,5.7
Ahipara,0,NZ,1570240403,78,-35.17,173.16,20.0,6.063
Chepo,40,PA,1570240406,94,9.17,-79.09,26.0,1.0
Manadhoo,100,MV,1570240407,74,5.77,73.38,27.84,1.85
Praxedis Guerrero,75,MX,1570240407,69,31.37,-106.02,26.0,2.6
Chingirlau,0,KZ,1570240407,32,51.09,54.08,9.41,4.14
Buncrana,100,GB,1570240408,86,55.14,-7.45,13.12,8.65
Klyuchi,14,RU,1570240408,71,52.25,79.17,11.82,2.19
Vila Franca do Campo,75,PT,1570240408,94,37.72,-25.43,23.33,5.7
Eilenburg,75,DE,1570240408,100,51.46,12.63,10.56,4.1
Grobina,48,LV,1570240409,100,56.54,21.17,-1.0,2.63
Ixtapa,75,MX,1570240167,79,20.71,-105.21,29.0,2.6
Chaman,46,AF,1570240411,17,30.92,66.46,20.83,1.53
Port Hardy,90,CA,1570240411,93,50.7,-127.42,11.0,2.1
Belaya Gora,100,RU,1570240411,57,68.54,146.19,-1.43,8.15
Hobyo,2,SO,1570240412,90,5.35,48.53,25.21,2.96
Evensk,14,RU,1570240334,39,61.92,159.24,0.28,0.73
Horizontina,89,BR,1570240412,97,-27.63,-54.31,20.09,1.66
Susanville,1,US,1570240413,47,40.42,-120.65,12.0,2.6
San Antonio del Tequendama,40,CO,1570240413,81,4.62,-74.35,12.0,1.0
Penzance,98,GB,1570240413,93,50.12,-5.53,15.0,4.6
Tual,17,ID,1570240413,79,-5.67,132.75,26.82,4.449
Merauke,90,ID,1570240414,81,-8.49,140.4,26.06,10.19
Seymchan,87,RU,1570240398,80,62.93,152.39,-7.54,2.87
Coihaique,0,CL,1570240414,100,-45.58,-72.07,8.0,3.1
Tshane,26,BW,1570240415,20,-24.02,21.87,16.9,2.55
Kavaratti,57,IN,1570240343,72,10.57,72.64,28.05,2.97
Mareeba,40,AU,1570240415,47,-16.99,145.42,27.0,8.7
Port Augusta,37,AU,1570240419,9,-32.49,137.76,38.0,12.9
Roald,0,NO,1570240356,62,62.58,6.12,3.33,1.5
Trincomalee,44,LK,1570240419,67,8.58,81.23,29.06,0.828
Lagos,100,NG,1570240419,93,6.46,3.39,23.49,2.59
Vostok,2,RU,1570240420,51,46.45,135.83,7.78,2.76
Twentynine Palms,1,US,1570240420,6,34.14,-116.05,32.0,0.451
Leh,74,IN,1570240422,56,34.16,77.58,0.55,1.793
Salinopolis,93,BR,1570240346,77,-0.61,-47.36,27.18,6.9
Capao da Canoa,100,BR,1570240424,93,-29.75,-50.01,19.31,6.967
Novyy Urengoy,94,RU,1570240425,86,66.08,76.63,2.02,8.94
Port Macquarie,75,AU,1570240425,100,-31.43,152.91,20.56,4.6
Bissora,20,GW,1570240425,94,12.22,-15.45,25.0,1.0
Sawtell,90,AU,1570240425,68,-30.38,153.1,22.0,9.3
Xinqing,0,CN,1570240426,30,48.28,129.53,9.91,3.21
Ziarat,0,PK,1570240426,60,30.38,67.73,12.09,2.282
Juegang,100,CN,1570240427,94,32.31,121.18,21.67,0.89
Boffa,97,GN,1570240428,81,10.18,-14.04,27.01,4.12
Cheyenne,1,US,1570240425,41,41.14,-104.82,16.11,4.6
Omsukchan,0,RU,1570240429,82,62.53,155.8,-7.84,1.31
Mumford,100,GH,1570240429,96,5.26,-0.76,22.76,1.916
Kargat,100,RU,1570240430,85,55.19,80.28,10.43,6.81
Poum,84,MK,1570240405,90,41.28,20.71,7.82,0.97
Impfondo,70,CD,1570240430,96,1.62,18.06,20.5,0.43
Ribeirao Pires,40,BR,1570240429,82,-23.71,-46.41,19.0,3.6
Sulangan,0,PH,1570240431,73,11.14,123.72,27.88,2.28
Kailua,75,US,1570240175,66,21.39,-157.74,31.0,7.2
San Javier,95,BR,1570240431,97,-27.87,-55.13,19.08,2.387
Bachaquero,100,VE,1570240431,73,9.96,-71.12,30.32,8.24
North Bend,1,US,1570240432,82,43.41,-124.22,15.56,1.5
Horta,40,BR,1570240432,73,-10.93,-37.66,25.0,6.2
Yeppoon,0,AU,1570240432,34,-23.13,150.74,28.0,2.6
Tiarei,40,PF,1570240417,69,-17.53,-149.33,28.0,3.1
Vanderhoof,100,CA,1570240433,70,54.02,-124.02,6.91,3.776
Praya,40,ID,1570240434,58,-8.71,116.27,29.0,3.6
Guane,100,CU,1570240435,74,22.2,-84.09,27.42,2.304
Te Anau,84,NZ,1570240436,61,-45.41,167.72,6.13,1.2
Goderich,0,CA,1570240318,88,43.74,-81.71,8.89,1.34
Wewak,2,PG,1570240439,72,-3.55,143.63,27.89,3.427
Luderitz,0,NA,1570240344,93,-26.65,15.16,12.0,3.1
Oloron-Sainte-Marie,0,FR,1570240439,93,43.19,-0.61,14.0,0.5
Grong,0,NO,1570240439,65,64.47,12.32,-2.08,0.98
Talnakh,75,RU,1570240384,80,69.49,88.39,0.0,5.0
Kandhla,52,IN,1570240440,63,29.32,77.27,23.98,3.277
Kaeo,60,NZ,1570240440,78,-35.1,173.78,20.0,3.5
Havelock,1,US,1570240441,69,34.88,-76.9,23.0,4.6
Razdolnoye,0,RU,1570240441,90,43.7,44.53,15.03,1.07
Remeti,83,RO,1570240441,85,47.98,23.63,6.11,2.1
Taonan,0,CN,1570240442,89,45.34,122.78,12.22,2.887
Nioro,37,GM,1570240442,89,13.79,-15.05,25.46,2.02
Ondjiva,93,AO,1570240442,33,-17.07,15.73,20.92,4.04
Manitouwadge,2,CA,1570240163,97,49.12,-85.84,1.04,2.07
Port Blair,20,IN,1570240303,94,11.67,92.75,25.0,1.0
Mikuni,40,JP,1570240443,68,36.22,136.15,22.0,4.6
Svay Rieng,2,KH,1570240443,63,11.08,105.8,30.04,2.32
Bukachacha,1,RU,1570240444,49,52.99,116.91,6.69,2.415
Sibolga,56,ID,1570240444,79,1.74,98.78,27.21,6.2
Chaoyang,0,CN,1570240445,21,41.58,120.44,13.08,5.67
Toora-Khem,68,RU,1570240386,42,52.47,96.11,3.14,1.31
Tibati,100,CM,1570240445,95,6.47,12.63,19.16,0.69
Uyo,100,NG,1570240447,98,5.03,7.92,22.95,1.173
Bluefield,1,US,1570240447,67,37.27,-81.22,20.0,1.85
Viedma,0,AR,1570240379,40,-40.81,-62.99,10.13,3.75
Tolaga Bay,0,NZ,1570240448,46,-38.37,178.3,19.27,4.31
Kargopol,68,RU,1570240448,96,61.51,38.95,-1.87,3.09
Manowa,68,SL,1570240449,99,8.17,-10.75,20.57,0.3
Baruun-Urt,0,MN,1570240449,30,46.68,113.28,8.68,5.573
Kathu,0,ZA,1570240449,23,-27.7,23.05,10.56,4.37
Zhangye,100,CN,1570240449,52,38.94,100.46,10.09,1.84
Ardmore,1,US,1570240450,46,34.99,-86.85,27.0,2.6
Chulman,100,RU,1570240450,90,56.84,124.9,2.06,4.15
Turbat,89,PK,1570240450,72,26.0,63.05,25.85,2.08
Hamilton,75,CA,1570240392,87,43.26,-79.87,10.0,2.6
Inyonga,34,TZ,1570240451,64,-6.72,32.06,18.94,1.89
Turukhansk,100,RU,1570240451,97,65.8,87.96,1.08,3.979
Owosso,90,US,1570240452,81,43.0,-84.18,10.0,3.57
Turan,86,RU,1570240452,45,52.15,93.92,3.18,1.81
Yulara,0,AU,1570240387,10,-25.24,130.99,32.0,6.7
Ruteng,0,ID,1570240453,45,-8.61,120.46,29.73,3.99
Martinsville,1,US,1570240196,64,36.69,-79.87,26.0,1.5
Aykhal,90,RU,1570240453,85,65.95,111.51,-4.0,4.0
Teknaf,77,BD,1570240453,78,20.86,92.31,27.81,2.8
Severodvinsk,90,RU,1570240454,98,64.56,39.82,0.0,3.0
Mehamn,99,NO,1570240454,78,71.03,27.85,3.59,3.33
Satinka,100,RU,1570240456,84,52.38,41.68,15.99,6.45
Morehead,1,US,1570240456,51,38.18,-83.43,17.0,2.6
Pilar,90,AR,1570240427,93,-34.46,-58.91,15.0,2.6
Skibbereen,90,IE,1570240457,100,51.55,-9.27,13.0,2.1
Maceio,75,BR,1570240394,73,-9.67,-35.74,25.0,5.1
Gornopravdinsk,100,RU,1570240459,98,60.06,69.92,8.96,2.12
Opuwo,11,NA,1570240459,30,-18.06,13.84,16.79,3.677
Saquena,85,PE,1570240459,74,-4.67,-73.52,24.4,0.91
San Patricio,100,PY,1570240460,95,-26.98,-56.83,18.2,3.38
Itoman,20,JP,1570240460,62,26.12,127.67,29.0,6.2
Necochea,67,AR,1570240460,96,-38.55,-58.74,9.44,0.89
Khani,0,GE,1570240460,68,41.96,42.96,21.0,5.7
Leshukonskoye,100,RU,1570240461,99,64.9,45.76,1.28,1.608
Mabaruma,100,GY,1570240461,93,8.2,-59.78,23.21,0.74
Chichester,8,GB,1570240461,93,50.84,-0.78,11.67,0.5
Birao,100,CF,1570240462,92,10.3,22.78,22.39,1.37
Mujiayingzi,0,CN,1570240462,30,42.12,118.78,8.59,4.94
Caravelas,100,BR,1570240463,82,-17.73,-39.27,23.43,6.4
General Pico,0,AR,1570240463,89,-35.66,-63.75,6.2,2.89
Chernyshevskiy,100,RU,1570240364,99,63.01,112.47,2.37,3.21
Chiredzi,0,ZW,1570240463,67,-21.05,31.67,20.08,1.43
Tarakan,40,ID,1570240464,78,3.3,117.63,28.0,1.5
Kenai,40,US,1570240384,71,60.55,-151.26,12.22,14.4
Jalu,0,LY,1570240392,73,29.03,21.55,20.97,7.31
Togur,98,RU,1570240466,92,58.36,82.83,5.0,3.229
Ternate,20,PH,1570240466,74,14.29,120.72,30.0,2.6
Pishin,17,PK,1570240467,54,30.58,67.0,16.62,1.569
Urgut,0,UZ,1570240467,93,39.41,67.25,10.0,2.1
Acapulco,75,MX,1570240467,78,16.86,-99.88,28.0,1.0
Abu Kamal,0,SY,1570240468,41,34.45,40.92,19.81,3.91
Vanimo,50,PG,1570240468,76,-2.67,141.3,27.96,5.66
Riyadh,0,SA,1570240469,35,24.63,46.72,29.0,1.5
Belyy Gorodok,50,RU,1570240469,92,56.97,37.51,2.21,0.96
